exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact+vns_sol,rssv_tbPMP_exact+vns_time
,,234479616.687298029661179,48.740738868713379,167982766.714166522026062,32.711507081985474,51489634.114135742187500,603.187327146530151
,,92604894.551122590899467,71.467413902282715,85548355.435312077403069,44.094671964645386,50483725.538454741239548,652.526467084884644
,,92604894.551122590899467,90.049696922302246,48951026.019103668630123,54.005970954895020,50214921.703429177403450,705.120146036148071
,,92604894.551122590899467,106.947036981582642,48951026.019103668630123,64.168696165084839,51620083.484596706926823,760.026472091674805
,,92604894.551122590899467,163.010629892349243,48951026.019103668630123,104.920767068862915,52322023.339296229183674,814.675724983215332
,,92604894.551122590899467,218.921226978302002,48951026.019103668630123,135.022325992584229,52730948.689878009259701,865.255214929580688
,,92604894.551122590899467,297.797633886337280,48951026.019103668630123,162.238659143447876,54948161.613195836544037,921.494313955307007
,,58370665.089257061481476,360.931458950042725,45388610.799517720937729,194.865230083465576,56153950.041396073997021,973.346554040908813
,,57169060.018999524414539,449.831472873687744,45388610.799517720937729,267.717879056930542,63905026.621043860912323,1027.978785991668701
,,47985966.248153790831566,514.758932828903198,45388610.799517720937729,294.710549116134644,52698776.450547359883785,1080.138504028320312
,,47985966.248153790831566,584.951792955398560,45388610.799517720937729,340.938081026077271,61926145.206113681197166,1139.741552114486694
,,47985966.248153790831566,726.080502033233643,45388610.799517720937729,407.427763938903809,67632672.070769205689430,1195.673650026321411
,,47985966.248153790831566,1120.833729028701782,45388610.799517720937729,480.246443986892700,65710002.240131214261055,1255.027961015701294
,,47985966.248153790831566,1245.070289850234985,45337945.957296699285507,712.267534971237183,67117735.710643649101257,1313.464724063873291
,,47985966.248153790831566,1368.573526859283447,44993187.773852288722992,983.541104078292847,94454475.891674175858498,1338.746672153472900
,,47985966.248153790831566,1652.856377840042114,44993187.773852288722992,1239.966367959976196,93203820.566157594323158,1392.641623973846436
,,47985966.248153790831566,1791.051198959350586,44993187.773852288722992,1320.695377111434937,74867193.229946687817574,1419.659274101257324
,,47985966.248153790831566,2025.214648008346558,44993187.773852288722992,1859.354695081710815,74503670.167945310473442,1470.133738994598389
,,47985966.248153790831566,2357.115075826644897,44993187.773852288722992,2082.966447114944458,102436961.912132740020752,1515.829293966293335
,,47985966.248153790831566,2625.743810892105103,44993187.773852288722992,2549.490149021148682,100627183.645863384008408,1540.569019079208374
,,47985966.248153790831566,2849.447795867919922,44993187.773852288722992,2823.729727983474731,159794294.021631687879562,1562.202510118484497
,,47985966.248153790831566,3441.392634868621826,43815927.069372005760670,2998.850044965744019,85125014.618646264076233,1609.876836061477661
,,,,43815927.069372005760670,3412.141916990280151,83919544.484671652317047,1658.749685049057007
,,,,43815927.069372005760670,3508.135915994644165,50740829.850819163024426,1714.928576946258545
,,,,,,51156477.173268668353558,1770.744270086288452
,,,,,,54219353.463496565818787,1826.321856975555420
,,,,,,53445948.221800655126572,1881.127334117889404
,,,,,,53196405.039432436227798,1940.501894950866699
,,,,,,55209430.136410802602768,1998.025166988372803
,,,,,,54299244.954923950135708,2048.966861963272095
,,,,,,61689466.607071027159691,2106.506220102310181
,,,,,,62535779.220371268689632,2163.249936103820801
,,,,,,63997660.276582695543766,2216.613435983657837
,,,,,,77483587.963623568415642,2265.537109136581421
,,,,,,76000222.982060328125954,2320.917431116104126
,,,,,,73780434.691474959254265,2371.086274147033691
,,,,,,70119673.522579222917557,2423.609332084655762
,,,,,,82456121.001401841640472,2463.434083938598633
,,,,,,89657042.993213638663292,2515.403049945831299
,,,,,,80113946.365399748086929,2557.621757030487061
,,,,,,78713761.095369279384613,2599.313292026519775
,,,,,,85407250.569657817482948,2633.545483112335205
,,,,,,104193186.384686753153801,2656.817930936813354
,,,,,,50617946.605122350156307,2725.927396059036255
,,,,,,52200778.485622003674507,2778.539103984832764
,,,,,,50598866.436855010688305,2829.412624120712280
,,,,,,58382463.252534262835979,2889.597052097320557
,,,,,,54915814.091472163796425,2946.522768020629883
,,,,,,59893327.878234378993511,3003.729990959167480
,,,,,,53838348.927695952355862,3059.695832967758179
,,,,,,70817797.789186269044876,3117.618546009063721
,,,,,,76599062.722440317273140,3171.207266092300415
,,,,,,66351384.967064253985882,3219.802626132965088
,,,,,,60489640.100538782775402,3269.377208948135376
,,,,,,63044015.420781157910824,3314.960444927215576
,,,,,,70525383.947592034935951,3364.774323940277100
,,,,,,59879538.771937459707260,3417.471580028533936
,,,,,,60830732.338497474789619,3467.181072950363159
,,,,,,88396428.269701227545738,3495.050032138824463
,,,,,,102141632.421359732747078,3518.753648996353149
,,,,,,96161780.755395084619522,3570.115195989608765
,,,,,,94713377.502377867698669,3612.539721965789795
