exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact-vns_sol,rssv_tbPMP_exact-vns_time
"238284444,338007","44,4203910827637","238284444,338007","57,6610989570618","185409149,014781","30,9767091274261","75422808,6253633",0
"238284444,338007","86,296599149704","238284444,338007","84,9293899536133","185409149,014781","38,2813611030579","74302539,2715604","554,79199886322"
"238284444,338007","85,1924648284912","238284444,338007","102,64398598671","114175842,524567","46,8869121074677","73990592,7914798","971,38764500618"
"238284444,338007","136,066453933716","238284444,338007","126,912235975266","104036897,915314","72,3426821231842","73942961,1472629","1499,31130981445"
"238284444,338007","166,965092897415","117984691,578817","170,975170135498","104036897,915314","78,2181620597839","73942961,1472629","3370,32078194618"
"238284444,338007","205,278450012207","117984691,578817","209,333559036255","104036897,915314","87,7372379302978",,
"117984691,578817","273,05664896965","117984691,578817","287,60701918602","94324839,8286978","100,932801961899",,
"117984691,578817","348,36289191246","108918377,701754","406,155730962753","86176506,1311239","146,621348142624",,
"117984691,578817","486,051553010941","97498258,8108969","586,619023084641","86176506,1311239","159,799026966095",,
"108918377,701754","670,719871997833","97498258,8108969","627,027538061142","79362688,1328418","181,231991052628",,
"100079245,457949","928,642953872681","97498258,8108969","713,153244972229","79362688,1328418","204,880686998367",,
"100079245,457949","1015,48322796822","97498258,8108969","986,455450057983","79362688,1328418","229,462819099426",,
"100079245,457949","1133,33673286438","97498258,8108969","1218,74744915962","75422808,6253633","257,474583148956",,
"100079245,457949","1361,06894493103","97498258,8108969","1523,53844714165","75422808,6253633","367,033338069916",,
"100079245,457949","1690,3384718895","97498258,8108969","1984,39582109451","75422808,6253633","402,403455018997",,
"100079245,457949","2053,48634195328","97498258,8108969","2288,56130003929","75422808,6253633","450,942880153656",,
"100079245,457949","2598,6722137928","97498258,8108969","3048,56929802895","75422808,6253633","501,080961942673",,
"100079245,457949","3020,37793684006","97498258,8108969",3600,"75422808,6253633","556,63810300827",,
"100079245,457949","3851,75243902206",,,"75422808,6253633","619,120394945145",,
"100079245,457949","4625,25369501114",,,"75422808,6253633","674,541334152222",,
"100079245,457949","5253,61859989166",,,"75422808,6253633","735,004759073258",,
"77355879,3530546","7809,31185984612",,,"75422808,6253633","789,628239154816",,
"74831950,2531145","8782,5411298275",,,"75422808,6253633","840,452829122543",,
"74831950,2531145","10161,9883768559",,,"75422808,6253633","889,319327116013",,
"71059245,6172347","11623,5734059811",,,"75422808,6253633","958,125303030014",,
"71059245,6172347","15519,315792799",,,"75422808,6253633","1014,54949498177",,
"71059245,6172347","17827,9029638767",,,"75422808,6253633","1080,29145908356",,
"71059245,6172347","20529,8929657936",,,"75422808,6253633","1145,45725393295",,
"71059245,6172347","23154,106580019",,,"75422808,6253633","1199,54436206818",,
"71059245,6172347","26231,5171518326",,,"75422808,6253633","1251,96958398819",,
"71059245,6172347","27899,4539139271",,,"75422808,6253633","1299,12919306755",,
"71059245,6172347","29375,7263917923",,,"75422808,6253633","1347,9413459301",,
"71059245,6172347","32156,3651549816",,,"75422808,6253633","1397,332914114",,
"71059245,6172347","35737,9571959972",,,"75422808,6253633","1443,86234593391",,
"71059245,6172347","38314,1037049293",,,"75422808,6253633","1499,03372311592",,
"71059245,6172347","40369,8005440235",,,"75422808,6253633","1548,91594195366",,
"71059245,6172347","41933,5048179627",,,"75422808,6253633","1597,91437005997",,
"71059245,6172347","43760,8850970268",,,"75422808,6253633","1657,25154399872",,
"71059245,6172347","45968,0708918572",,,"71279281,5175249","2637,18239712715",,
"71059245,6172347","48562,4542310238",,,"71279281,5175249","2644,11435508728",,
"71059245,6172347","50456,6939380169",,,"71279281,5175249","2704,33346009254",,
"71059245,6172347","53118,9616289139",,,"71279281,5175249","2814,41742897034",,
"71059245,6172347","54212,190871954",,,"71279281,5175249","2888,41274809837",,
"67835508,8694892","62413,4704098702",,,"71279281,5175249","2947,45169711113",,
"67835508,8694892","62422,3217868805",,,"71279281,5175249","3053,7885890007",,
"67835508,8694892","63088,1955108643",,,"71279281,5175249","3097,25968194008",,
"67835508,8694892","74092,677793026",,,"71279281,5175249","3129,66367411613",,
"67835508,8694892","81569,052312851",,,"71279281,5175249","3147,92367506027",,
"67835508,8694892","89175,8212878704",,,"71279281,5175249","3191,66370892525",,
"67835508,8694892","104736,97318697",,,"71279281,5175249","3605,44595503807",,
"67835508,8694892","107664,331512928",,,,,,
"67835508,8694892","142099,305567026",,,,,,
"67818164,8187672","147887,264277935",,,,,,
"67818164,8187672","152231,69334197",,,,,,
"67818164,8187672","210825,813421965",,,,,,
"67818164,8187672","230398,672299862",,,,,,
"67818164,8187672","255492,66118288",,,,,,
"67818164,8187672","278591,129289866",,,,,,
"67818164,8187672","337665,925571918",,,,,,
